Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,9-Mar-19,68,7.57,6.7,-11.3,-0.9,-19.7,79.1,44.1,0.8,3.9,0,0.944,-1.1,-16.1,-1.6,-30.8,NA,NA,NA,NA,0.252,0.319,15.55
PK,10-Mar-19,69,15.06,13.44,-9.7,2.2,-21.1,72.3,37.1,0.8,3.5,0,0.938,-1,-20,-4,-32.1,NA,NA,NA,NA,0.265,0.449,15.8
PK,11-Mar-19,70,7.92,6.58,-6.4,-2,-11.1,71,50.9,2.7,5.8,0,0.919,-1.2,-8.1,-4.5,-16.5,NA,NA,NA,NA,0.268,0.259,16.05
PK,12-Mar-19,71,7.8,6.79,-6.9,-3.7,-14.8,89.4,77.5,1.5,6.8,4.07,0.932,-1.2,-10.2,-4.6,-26.5,NA,NA,NA,NA,0.361,0.105,16.31
PK,13-Mar-19,72,14.07,12.27,-8.5,-0.3,-16.4,72.4,39.6,1.4,5.6,0,0.921,-1,-17.7,-1.1,-27.9,NA,NA,NA,NA,0.236,0.36,16.56
PK,14-Mar-19,73,12.27,10.63,-5.2,3.9,-16.9,68.9,34,0.9,5,0,0.917,-1,-10.1,0,-28.1,NA,NA,NA,NA,0.274,0.532,16.82
PK,15-Mar-19,74,12.02,9.96,-2.6,7.1,-9.3,75.5,38.9,1.2,4.1,0,0.888,-1.1,-9.1,1.2,-18.6,NA,NA,NA,NA,0.391,0.614,17.08
PK,16-Mar-19,75,15.26,12.72,-1.4,9.1,-9.3,73.6,34.8,1.1,5.1,0,0.873,-0.9,-8,0.6,-17.5,NA,NA,NA,NA,0.401,0.751,17.34
PK,17-Mar-19,76,16.84,13.6,0.1,8.4,-9.8,63.5,33.3,1.3,4.9,0,0.851,-0.8,-8.7,0.5,-20.1,NA,NA,NA,NA,0.367,0.735,17.6
PK,18-Mar-19,77,17.41,13.66,1.8,13.9,-8.3,58.2,16.6,1,4,0,0.826,-0.8,-8.3,0.7,-19,NA,NA,NA,NA,0.263,1.321,17.85
PK,19-Mar-19,78,17.64,13.59,3.3,15.6,-7.4,55,18.3,1.3,4.9,0,0.796,-0.8,-7.2,0.9,-17.2,NA,NA,NA,NA,0.323,1.442,18.12
PK,20-Mar-19,79,17.9,13.6,5.8,16.5,-3.4,47.2,17.2,1.3,4.7,0,0.755,-0.5,-6.2,0.9,-14.6,NA,NA,NA,NA,0.322,1.55,18.38
PK,21-Mar-19,80,17.77,13.58,4.3,17.3,-5.3,54.4,17.8,1.1,4.4,0,0.721,-0.2,-6.3,1,-14.2,NA,NA,NA,NA,0.351,1.621,18.65
PK,22-Mar-19,81,17.43,13.28,4.6,15.1,-5,59.5,20.6,1.1,4.1,0,0.702,-0.1,-3.7,0.9,-12.4,NA,NA,NA,NA,0.353,1.361,18.91
